year,month,auc,tss,mean_auc,mean_tss
2010,5,0.8469,0.5668,0.8439722222222222,0.5601166666666667
2010,6,0.8057,0.5131,0.7923333333333333,0.4927888888888889
2010,8,0.7346,0.3631,0.7194333333333334,0.36959444444444445
2010,9,0.8164,0.5356,NA,NA
2010,10,0.7945,0.5068,0.7713888888888889,0.4864111111111111
2010,11,0.8734,0.6395,0.8748611111111111,0.66505
2011,1,0.779,0.5631,0.7997833333333333,0.5638333333333333
2011,2,0.6793,0.3794,0.7489222222222223,0.4545666666666667
2011,3,0.785,0.523,0.81225,0.5448333333333334
2011,4,0.8160000000000001,0.5294,0.7508722222222222,0.4224
2011,5,0.8278,0.5363,0.8439722222222222,0.5601166666666667
2011,6,0.8048000000000001,0.5099,0.7923333333333333,0.4927888888888889
2011,8,0.669,0.3617,0.7194333333333334,0.36959444444444445
2011,9,0.6621,0.3291,NA,NA
2011,10,0.7194,0.4529,0.7713888888888889,0.4864111111111111
2011,11,0.9014,0.7301,0.8748611111111111,0.66505
2012,2,0.5979,0.2356,0.7489222222222223,0.4545666666666667
2012,3,0.7559,0.489,0.81225,0.5448333333333334
2012,4,0.8125,0.5085,0.7508722222222222,0.4224
2012,5,0.8346,0.528,0.8439722222222222,0.5601166666666667
2012,6,0.7732,0.4521,0.7923333333333333,0.4927888888888889
2012,8,0.7081999999999999,0.4006,0.7194333333333334,0.36959444444444445
2012,9,NA,NA,NA,NA
2012,10,0.7736000000000001,0.5324,0.7713888888888889,0.4864111111111111
2012,11,0.8734,0.7049,0.8748611111111111,0.66505
2013,2,0.6329,0.3027,0.7489222222222223,0.4545666666666667
2013,3,0.77,0.5014000000000001,0.81225,0.5448333333333334
2013,4,0.7882,0.4891,0.7508722222222222,0.4224
2013,5,0.8563,0.5844,0.8439722222222222,0.5601166666666667
2013,6,0.7966,0.5022,0.7923333333333333,0.4927888888888889
2013,8,0.6789000000000001,0.3605,0.7194333333333334,0.36959444444444445
2013,9,0.6257,0.2568,NA,NA
2013,10,0.732,0.4708,0.7713888888888889,0.4864111111111111
2013,11,0.8645,0.6813,0.8748611111111111,0.66505
2014,2,0.6737,0.3922,0.7489222222222223,0.4545666666666667
2014,3,0.7505,0.4771,0.81225,0.5448333333333334
2014,4,0.801,0.5096,0.7508722222222222,0.4224
2014,5,0.8381,0.5428000000000001,0.8439722222222222,0.5601166666666667
2014,6,0.7942,0.5018,0.7923333333333333,0.4927888888888889
2014,8,0.7106,0.4011,0.7194333333333334,0.36959444444444445
2014,9,0.6911,0.3849,NA,NA
2014,10,0.704,0.3942,0.7713888888888889,0.4864111111111111
2014,11,0.8742,0.6894,0.8748611111111111,0.66505
2015,2,0.6433,0.3377,0.7489222222222223,0.4545666666666667
2015,3,0.7464,0.459,0.81225,0.5448333333333334
2015,4,0.8095,0.5255,0.7508722222222222,0.4224
2015,5,0.8467,0.5701,0.8439722222222222,0.5601166666666667
2015,6,0.7847,0.4854,0.7923333333333333,0.4927888888888889
2015,8,0.6894,0.36819999999999997,0.7194333333333334,0.36959444444444445
2015,9,0.7059,0.4161,NA,NA
2015,10,0.7303,0.4595,0.7713888888888889,0.4864111111111111
2015,11,0.8625,0.6757,0.8748611111111111,0.66505
2016,2,0.6026,0.23199999999999998,0.7489222222222223,0.4545666666666667
2016,3,0.7767,0.5477,0.81225,0.5448333333333334
2016,4,0.813,0.5259,0.7508722222222222,0.4224
2016,5,0.8519,0.5872,0.8439722222222222,0.5601166666666667
2016,6,0.8142,0.5262,0.7923333333333333,0.4927888888888889
2016,8,0.7093,0.4056,0.7194333333333334,0.36959444444444445
2016,9,0.7479,0.4782,NA,NA
2016,10,0.7575000000000001,0.4999,0.7713888888888889,0.4864111111111111
2016,11,0.866,0.6805,0.8748611111111111,0.66505
2017,2,0.645,0.3154,0.7489222222222223,0.4545666666666667
2017,3,0.7395,0.4522,0.81225,0.5448333333333334
2017,4,0.7886,0.5093,0.7508722222222222,0.4224
2017,5,0.8358,0.5497,0.8439722222222222,0.5601166666666667
2017,6,0.783,0.4528,0.7923333333333333,0.4927888888888889
2017,8,0.6762,0.3443,0.7194333333333334,0.36959444444444445
2017,9,0.7266,0.4497,NA,NA
2017,10,0.7754,0.5158,0.7713888888888889,0.4864111111111111
2017,11,0.8914,0.723,0.8748611111111111,0.66505
